EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1282.03	200.0	0.000494414	0.0800614	0.0	0.122679443211	2600
-1190.07	200.0	0.00110151	0.0786092	0.278753588071	0.305239766232	5200
-1127.9	200.0	0.000110444	0.0778852	0.219945990037	0.246175517611	7800
-1299.29	200.0	0.000141442	0.0765003	0.253306719632	0.259995957667	10400
-1352.71	200.0	0.000456021	0.0761412	0.231813014244	0.270197498383	13000
-1221.55	200.0	0.00239901	0.0775945	0.30037277492	0.357502673456	15600
-1048.7	200.0	0.00248272	0.0782017	0.334354056835	0.359583688353	18200
-1284.12	200.0	0.0008793	0.0789477	0.353962038803	0.372873649585	20800
-1227.12	200.0	0.00225486	0.0787275	0.407251139487	0.44066447003	23400
-1246.07	200.0	0.0023376	0.0785759	0.467027258274	0.473822258416	26000
-1203.77	200.0	0.00159404	0.0791241	-0.162000580404	0.138328046649	28600
-1239.59	200.0	0.000667125	0.0788724	0.215263035168	0.232278847151	31200
-1226.68	200.0	0.00224511	0.076595	0.287538374455	0.299463525379	33800
-1233.42	200.0	0.00216239	0.0730233	0.342687906286	0.359864941622	36400
-1278.71	200.0	0.00170951	0.069501	0.3623925314	0.364980622963	39000
-1240.07	200.0	0.00675075	0.0676576	0.135176054562	0.200654378338	41600
-1271.84	200.0	0.00180648	0.067204	0.259574258642	0.290839683431	44200
-1266.68	200.0	0.000315473	0.0665994	0.251454196862	0.259601875233	46800
-1419.66	200.0	0.000213888	0.0676768	0.107314159994	0.122684203201	49400
-1316.35	200.0	0.00128271	0.068871	0.18925119794	0.280778574449	52000
-1219.09	200.0	0.00152337	0.071387	0.367241237735	0.416692507468	54600
-1173.64	200.0	0.00141374	0.0760747	0.383176272097	0.406020419911	57200
-1088.43	200.0	0.00210671	0.0802509	0.364204971003	0.383223591714	59800
-1152.59	200.0	0.00201872	0.081453	0.474141776217	0.478341273806	62400
-1197.94	200.0	0.00198007	0.0840804	0.492362062527	0.501938900356	65000
-1196.74	200.0	0.00401239	0.090291	0.427540122508	0.440093427275	67600
-1228.83	200.0	0.000484839	0.093911	0.397073623598	0.405121559845	70200
-1127.75	200.0	0.0109596	0.0976852	0.238131561442	0.256695178753	72800
-1090.04	200.0	0.00126425	0.100709	0.266144060578	0.289880181973	75400
-1159.13	200.0	0.00423179	0.104645	0.370693958775	0.380360581287	78000
-1113.21	200.0	0.0011405	0.108178	0.251726909755	0.305553369968	80600
-1222.22	200.0	0.000855683	0.112131	0.407022419328	0.422566217874	83200
-1257.15	200.0	0.00216887	0.118011	0.30247249111	0.31196629341	85800
-1205.5	200.0	0.00695537	0.124131	0.441840715877	0.462711519766	88400
-1018.58	200.0	0.00644322	0.128479	0.229640578236	0.264491730485	91000
-1153.8	200.0	0.000929711	0.13155	0.349944604116	0.367824744681	93600
-1166.48	200.0	0.000365548	0.135679	0.290625199253	0.309053862167	96200
-1125.55	200.0	0.0103364	0.141741	0.335436327176	0.3597606233	98800
-1141.74	200.0	0.00251656	0.144467	0.488803902699	0.519342344522	101400
-1166.98	200.0	0.00163687	0.146663	0.451350161926	0.470959768005	104000
-1108.8	200.0	0.00273099	0.149178	0.465843158825	0.4745905035	106600
-1067.01	200.0	0.000967665	0.150424	0.284475611493	0.291262314462	109200
-1128.44	200.0	0.000848967	0.15173	0.38329406831	0.386534360537	111800
-1050.16	200.0	0.000198972	0.150922	0.233329962211	0.240567529246	114400
-1170.65	200.0	0.00184534	0.149842	0.371326390348	0.381699544327	117000
-1279.37	200.0	0.00242733	0.14823	0.463249124355	0.469177000386	119600
-1065.48	200.0	0.000603722	0.150325	0.452871965492	0.463166258152	122200
-1002.42	200.0	0.000576558	0.151407	0.435770755183	0.440866554443	124800
-1136.69	200.0	0.0189347	0.15405	0.58445508319	0.602149123829	127400
-1119.8	200.0	0.0193659	0.158227	0.339380978839	0.417274976071	130000
-1176.54	200.0	0.0014285	0.157569	0.0587210034761	0.181518624446	132600
-1177.23	200.0	0.00577222	0.158154	0.151392543307	0.158987597598	135200
-1201.12	200.0	0.0150368	0.15893	0.162200912766	0.183973014725	137800
-1143.91	200.0	0.0241531	0.159283	0.187357838919	0.198376440983	140400
-1024.0	200.0	0.0116087	0.158771	0.271701230409	0.340095390978	143000
-1048.9	200.0	0.00337785	0.15787	0.402911171713	0.437044114167	145600
-1111.01	200.0	0.00115986	0.156894	0.389391766199	0.396623475384	148200
-1089.85	200.0	0.000526968	0.15613	0.506531458317	0.508822536289	150800
-1158.43	200.0	0.000632747	0.153985	0.415690398335	0.419035064752	153400
-1209.43	200.0	0.00109417	0.152114	0.390185142484	0.397702333314	156000
-1081.75	200.0	0.00352222	0.151787	0.500923541246	0.536747014877	158600
-1053.95	200.0	0.00330983	0.151099	0.533801661986	0.557867514057	161200
-1095.32	200.0	0.00270341	0.149813	0.506146044188	0.527829016984	163800
-1042.43	200.0	0.000616878	0.150533	0.457531395658	0.474134620033	166400
-1070.1	200.0	0.00256817	0.151301	0.410363152402	0.423557371928	169000
-1009.17	200.0	0.0034923	0.148961	0.46357704031	0.5205869804	171600
-1071.37	200.0	0.00368415	0.150457	0.582396888303	0.595623891535	174200
-897.969	200.0	0.0017146	0.148186	0.56745519137	0.586982538606	176800
-1041.22	200.0	0.00358702	0.145813	0.572862697617	0.579164540349	179400
-1036.9	200.0	0.00357054	0.141399	0.52311828752	0.544761719487	182000
