EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1285.92	200.0	0.000231785	0.0820615	-0.000149402208606	-0.703387644829	2600
-1328.95	200.0	5.98061e-05	0.0832409	-0.824494242789	-0.801642188752	5200
-1324.04	200.0	0.000978087	0.085009	-0.639846137945	-0.293580460394	7800
-1319.4	200.0	0.00116121	0.0876933	-0.2576482552	-0.118524944883	10400
-1306.24	200.0	0.00198519	0.0900255	-0.17280283128	-0.198469534572	13000
-1285.06	200.0	0.00363492	0.0915984	-0.22523229925	-0.141885430526	15600
-1260.94	200.0	0.00351919	0.0927233	-0.0519497095004	-0.79539011117	18200
-1208.86	200.0	0.00392129	0.0937073	-0.59865412859	-0.522597387053	20800
-1236.17	200.0	0.00097049	0.094201	-0.645071038745	-0.313891158023	23400
-1270.38	200.0	0.000132323	0.0948383	-0.481980618385	-0.790096958218	26000
-1201.87	200.0	0.00193482	0.09505	-0.760414842149	-0.290995331161	28600
-1150.69	200.0	0.00363343	0.0962487	-0.15408362126	-0.0986606129148	31200
-1234.52	200.0	0.00934079	0.0984561	-0.0780584346383	-0.505476471126	33800
-1130.63	200.0	0.00345962	0.100219	-0.648691368085	-0.135485259646	36400
-1116.43	200.0	0.00226037	0.101809	-0.0814346959053	-0.0705760186642	39000
-1211.73	200.0	0.00163302	0.102251	-0.0374650118075	-0.060624293553	41600
-1031.59	200.0	0.000643324	0.103026	-0.106071820439	-0.0382655584436	44200
-1344.5	200.0	0.000263841	0.10358	-0.0167685052642	-0.0476238328896	46800
-1296.59	200.0	0.000992013	0.10435	-0.0496034147089	-0.0453649981204	49400
-1186.66	200.0	0.00357976	0.106095	-0.0541112687632	-0.0587680314477	52000
-1222.89	200.0	0.00366062	0.106377	-0.0501098052157	-0.0390160518022	54600
-1415.9	200.0	0.00785233	0.107324	-0.059075499068	-0.0872437203733	57200
-1272.22	200.0	0.00448085	0.106964	-0.0942842046369	-0.0416771690992	59800
-1282.39	200.0	0.000532571	0.106592	-0.0697413694783	-0.19524760412	62400
-1256.56	200.0	0.0113437	0.104879	-0.177538295359	-0.805256131134	65000
-1279.58	200.0	0.00199182	0.103461	-0.727619785146	-0.379396640713	67600
-1186.64	200.0	0.00110519	0.102094	-0.410318371614	-0.128021516912	70200
-1062.85	200.0	0.00240088	0.101479	-0.173405907952	-0.118998510377	72800
-1057.04	200.0	0.00321916	0.102238	-0.0967980846106	-0.0968281983122	75400
-1268.95	200.0	0.00220984	0.103006	-0.0505876164785	-0.0750110661745	78000
-1109.62	200.0	0.00454009	0.10418	-0.0934500453936	-0.0791291952357	80600
-1195.63	200.0	0.00112918	0.104583	-0.065542803034	-0.0802567692667	83200
-1227.28	200.0	0.000172348	0.105763	-0.0978410920815	-0.0816987209892	85800
-1209.86	200.0	0.000535853	0.108675	-0.0815771877847	-0.0907021566137	88400
-1288.92	200.0	0.000567172	0.113575	-0.0723199544742	-0.0622548200577	91000
-1272.53	200.0	0.000791373	0.115073	-0.0718744561849	-0.0751123691536	93600
-1312.67	200.0	0.0065688	0.116696	-0.0894475593062	-0.141374124333	96200
-1408.14	200.0	0.000188758	0.11786	-0.127916248362	-0.08542673189	98800
-1122.78	200.0	0.00573358	0.123117	-0.114739924341	-0.0717022420908	101400
-1212.69	200.0	0.00136472	0.127095	-0.0760427982403	-0.183974024008	104000
-1112.75	200.0	0.00982796	0.131343	-0.128250151088	-0.0756454653449	106600
-1141.57	200.0	0.0064334	0.133402	-0.0544560649528	-0.0518771427315	109200
-1226.96	200.0	0.00256197	0.134322	-0.0526670140545	-0.0547053656467	111800
-1176.9	200.0	0.00157548	0.136095	-0.0527737888973	-0.0545821914443	114400
-1287.92	200.0	0.00100653	0.136776	-0.0702808935747	-0.0754672034972	117000
-1286.72	200.0	0.00040381	0.137098	-0.0419059816211	-0.0552679911534	119600
-1381.9	200.0	0.000786457	0.136675	-0.0666058227853	-0.102351921545	122200
-1224.75	200.0	0.000905896	0.13638	-0.0898844234498	-0.0803900468982	124800
-1249.01	200.0	0.00294125	0.134714	-0.0433954214521	-0.0640129243845	127400
-1190.17	200.0	0.00396434	0.132629	-0.0544519035294	-0.0466603644413	130000
-1299.48	200.0	0.00162197	0.130929	-0.0407849024404	-0.052600252581	132600
-1152.9	200.0	0.00262793	0.12696	-0.0560744564096	-0.0261370825627	135200
-1036.91	200.0	0.00256034	0.125046	-0.0662327076503	-0.0879271036079	137800
-1113.48	200.0	0.00239058	0.127202	-0.0552718960603	-0.0622699702468	140400
-1098.63	200.0	0.00199279	0.125183	-0.0567442745595	-0.0595050200235	143000
-1089.21	200.0	0.00201739	0.121126	-0.0291692994768	-0.0359303015325	145600
-1148.54	200.0	0.00129368	0.113952	-0.0410940414358	-0.0315192233453	148200
-1092.04	200.0	0.00148594	0.108385	-0.0404359579635	-0.042919220484	150800
-964.589	200.0	0.0022697	0.109369	-0.059629152799	-0.0404960904879	153400
-1016.73	200.0	0.0126515	0.105599	-0.038440108512	-0.0728420554467	156000
-1115.91	200.0	0.00527221	0.103559	-0.0393966151058	-0.107178919056	158600
-1201.72	200.0	0.000309437	0.0999743	-0.113180533352	-0.151787197257	161200
-1200.74	200.0	0.00102942	0.0970613	-0.333360256104	-0.111009037054	163800
-1182.69	200.0	0.00612046	0.0929502	-0.148785899365	-0.231613070261	166400
-1206.25	200.0	0.00176913	0.0905825	-0.315997382134	-0.157196176882	169000
-1239.47	200.0	0.00216484	0.0878947	-0.153410447032	-0.284473190743	171600
-1245.63	200.0	0.00321075	0.0854138	-0.503640414837	-0.192804096996	174200
-1286.39	200.0	0.00222113	0.0817808	-0.352548274292	-0.100882582677	176800
-1261.08	200.0	0.0048031	0.0778177	-0.0808247327424	-0.637278841583	179400
-1243.55	200.0	0.000549479	0.0766089	-0.48038566994	-0.069942425243	182000
-1203.89	200.0	0.0164949	0.0737998	-0.0615220434668	-0.152174818543	184600
-1194.72	200.0	0.00178203	0.0712121	-0.137434569462	-0.166276861929	187200
-1151.69	200.0	0.00701474	0.0699168	-0.130342587456	-0.0661032549988	189800
-1029.77	200.0	0.00335561	0.0695326	-0.0458813547949	-0.0518469304836	192400
-1177.7	200.0	0.00195169	0.0692916	-0.0350962040022	-0.0373247832464	195000
-959.206	200.0	0.00309733	0.0690716	-0.0503877780311	-0.0436123834691	197600
-1126.84	200.0	0.00186591	0.0684862	-0.0202771571005	-0.0304411343749	200200
-1124.08	200.0	0.000635191	0.0685315	-0.0393742549981	-0.035663394254	202800
-1117.17	200.0	0.000173011	0.0672213	-0.0610230564335	-0.0466556800148	205400
-1177.69	200.0	0.000358161	0.0662938	-0.0249220084547	-0.0440421300281	208000
-1122.34	200.0	0.00207145	0.0648395	-0.0635305705996	-0.0562752660733	210600
-963.882	200.0	0.00371544	0.0652089	-0.0530650485119	-0.0377130693772	213200
-994.992	200.0	0.00256937	0.0666146	-0.0375265186769	-0.0342778004378	215800
-1049.41	200.0	0.00120492	0.0661176	-0.0461199454273	-0.0394637041997	218400
-987.154	200.0	0.0038055	0.0670181	-0.0561706414356	-0.0317099200167	221000
-895.901	200.0	0.00260964	0.0678864	-0.0385921682525	-0.0246192761055	223600
-934.827	200.0	0.00467393	0.0669349	-0.0243990632585	-0.0400796766512	226200
-943.783	200.0	0.00181498	0.0667816	-0.029997340636	-0.0310037663843	228800
-1052.35	200.0	0.00110229	0.0630648	-0.0160121159734	-0.0456792051423	231400
-1039.27	200.0	0.00296842	0.0592148	-0.0329821912769	-0.0446273579734	234000
-993.264	200.0	0.00254367	0.0555202	-0.0392005880458	-0.0310958574041	236600
-990.291	200.0	0.0013054	0.0522643	-0.0521658512646	-0.040984384153	239200
-1075.2	200.0	0.000471878	0.0505666	-0.0494612360528	-0.043319464751	241800
-1080.1	200.0	0.00590463	0.0481694	-0.0648007884012	-0.0667224495845	244400
-1072.51	200.0	0.000457342	0.0471365	-0.0287716819273	-0.0131895981351	247000
-1066.16	200.0	0.000918481	0.0460861	-0.0374867360006	-0.0339076528	249600
-993.919	200.0	0.00749971	0.0464987	-0.0325619963913	-0.0225024668013	252200
-995.257	200.0	0.00269924	0.0479592	-0.0318351248165	-0.0333034441026	254800
-975.933	200.0	0.00388891	0.0525074	-0.0320531305743	-0.0270491827286	257400
-910.136	200.0	0.00651086	0.0562223	-0.0412581370933	-0.0293949532184	260000
-875.604	200.0	0.0018426	0.0574059	-0.0298410915055	-0.0432619664853	262600
-1009.42	200.0	0.000464141	0.0599307	-0.0106084398517	-0.0266307606512	265200
-1000.34	200.0	0.00186761	0.0608115	-0.0271210554298	-0.031410466598	267800
-986.087	200.0	0.00231152	0.0602946	-0.0321401930596	-0.0287343551243	270400
-972.369	200.0	0.000889742	0.0570698	-0.0306244896567	-0.0379876184246	273000
-1027.22	200.0	0.0123679	0.056157	-0.0246454459364	-0.0434502647823	275600
-839.469	200.0	0.0034922	0.056875	-0.0653839423985	-0.0180214195846	278200
-901.57	200.0	0.00322546	0.0579432	-0.0100785765488	-0.0257264023563	280800
-899.191	200.0	0.00921458	0.0596538	-0.0272208297289	-0.0250858302739	283400
-906.979	200.0	0.00196774	0.0616295	-0.0317042795549	-0.0310005308812	286000
-1033.07	200.0	0.00398128	0.0635909	-0.0324943847424	-0.0451597554548	288600
-909.188	200.0	0.0019795	0.0679254	-0.087172400991	-0.034063985435	291200
-878.776	200.0	0.00498607	0.0719087	-0.0412135010708	-0.031715332217	293800
-815.21	200.0	0.00315902	0.0738513	-0.0385411645231	-0.0369578362606	296400
-844.382	200.0	0.00125475	0.0755431	-0.0150050345799	-0.0315081752091	299000
-831.945	200.0	0.000774082	0.0779487	-0.0134286350839	-0.0236695555891	301600
-807.393	200.0	0.00118368	0.0796877	-0.0200474630439	-0.0186838300248	304200
-850.412	200.0	0.00138989	0.0809991	-0.0295834720549	-0.0274690036525	306800
-899.503	200.0	0.00232829	0.08294	-0.0223716184407	-0.0504589861971	309400
-862.13	200.0	0.0015818	0.085034	-0.0479398918787	-0.0323845432419	312000
-865.798	200.0	0.000890311	0.0855455	-0.0387222743267	-0.0369196402955	314600
-937.096	200.0	0.0036663	0.0883349	-0.0292084110774	-0.0417581185668	317200
-771.429	200.0	0.00550558	0.0906676	-0.0318204091083	-0.00933972059265	319800
-811.721	200.0	0.00275536	0.0916219	-0.0247921991665	-0.0319636817838	322400
-765.44	200.0	0.00237876	0.0912687	-0.0187300560364	-0.0165720099502	325000
-908.211	200.0	0.0018581	0.0911185	-0.00966858480805	-0.0188443126859	327600
-909.433	200.0	0.0027099	0.0917603	-0.0122840690158	-0.0210570488295	330200
-787.902	200.0	0.00154109	0.091501	-0.0616100949536	-0.035227984884	332800
-798.48	200.0	0.00168049	0.0919756	-0.0202641176005	-0.0220145267747	335400
-810.304	200.0	0.0036473	0.0927163	-0.0152748261047	-0.0187030927283	338000
-810.025	200.0	0.00487267	0.0937075	-0.0218399482105	-0.0205690370718	340600
-706.516	200.0	0.0022353	0.0948514	-0.0300985949961	-0.0237562708517	343200
-800.846	200.0	0.00115444	0.0977039	-0.00561272240043	-0.0270024927783	345800
-784.35	200.0	0.00081036	0.101238	-0.0135030849876	-0.00842717815599	348400
-755.547	200.0	0.00211183	0.105807	-0.0178119364628	-0.00630706189091	351000
-782.136	200.0	0.00225296	0.111316	-0.014210100384	-0.0163031970699	353600
-883.901	200.0	0.00223478	0.11777	-0.018429864694	-0.0361798876692	356200
-839.555	200.0	0.00104036	0.125515	-0.0228806299416	-0.0346295621855	358800
-882.122	200.0	0.00875153	0.132731	-0.023123879141	-0.0393874057732	361400
-771.602	200.0	0.00845747	0.137694	-0.027001029146	-0.0224436234829	364000
-808.871	200.0	0.0013951	0.140628	-0.0201674511065	-0.0194266476645	366600
-831.771	200.0	0.0011063	0.143044	-0.0120744134797	-0.0156548024065	369200
-825.793	200.0	0.00128472	0.145159	-0.0117494057726	-0.0243693495982	371800
-798.406	200.0	0.000877395	0.146409	-0.0417872407183	-0.0285239140823	374400
-846.175	200.0	0.00112014	0.14756	-0.0248156952463	-0.0362383300385	377000
-960.148	200.0	0.000499048	0.147607	-0.0257730177384	-0.0351923844683	379600
-834.983	200.0	0.00420473	0.147113	-0.0344512916849	-0.0197256827137	382200
-782.199	200.0	0.00258098	0.148405	-0.0224062015425	-0.0343270009337	384800
-743.061	200.0	0.00221906	0.14966	-0.0210666036235	-0.0137109686899	387400
-787.155	200.0	0.00373256	0.150265	-0.0127682850395	-0.015441162333	390000
-778.343	200.0	0.00490295	0.150709	-0.0203853113692	-0.021271537213	392600
-804.219	200.0	0.00129903	0.151142	-0.010358225436	-0.0161864523703	395200
-727.892	200.0	0.000327832	0.151807	-0.0245452056573	-0.0247334543073	397800
-891.214	200.0	0.000621996	0.152207	-0.0126301651494	-0.0289553711456	400400
-770.091	200.0	0.00201711	0.151306	-0.0284377663964	-0.0136032030984	403000
